,image paths,A,B,alpha,alpha QC
0,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Jeff_George/Jeff_George_0001.jpg,224,224,1,100
1,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Marsha_Sharp/Marsha_Sharp_0001.jpg,224,224,1,100
2,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Javier_Camara/Javier_Camara_0001.jpg,224,224,1,100
3,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Robbie_Mc_Ewen/Robbie_Mc_Ewen_0001.jpg,224,224,1,100
4,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Julian_Battle/Julian_Battle_0001.jpg,224,224,1,100
5,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Laura_Gobai/Laura_Gobai_0001.jpg,224,224,1,100
6,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Elva_Hsiao/Elva_Hsiao_0001.jpg,224,224,1,100
7,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Pauline_Phillips/Pauline_Phillips_0001.jpg,224,224,1,100
8,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Dan_Bylsma/Dan_Bylsma_0001.jpg,224,224,1,100
9,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Eloy_Gutierrez/Eloy_Gutierrez_0001.jpg,224,224,1,100
10,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Hugh_Campbell/Hugh_Campbell_0001.jpg,224,224,1,100
11,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Jennifer_Murray/Jennifer_Murray_0001.jpg,224,224,1,100
12,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Porter_Goss/Porter_Goss_0001.jpg,224,224,1,100
13,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Reggie_Miller/Reggie_Miller_0002.jpg,224,224,1,100
14,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Reggie_Miller/Reggie_Miller_0001.jpg,224,224,1,100
15,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Christian_Bale/Christian_Bale_0001.jpg,224,224,1,100
16,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Greg_Kinnear/Greg_Kinnear_0001.jpg,224,224,1,100
17,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Chris_Kolanas/Chris_Kolanas_0001.jpg,224,224,1,100
18,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Simon_Cowell/Simon_Cowell_0002.jpg,224,224,1,100
19,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Simon_Cowell/Simon_Cowell_0001.jpg,224,224,1,100
20,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Laura_Morante/Laura_Morante_0001.jpg,224,224,1,100
21,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Laura_Morante/Laura_Morante_0001.jpg,224,224,1,100
22,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Pete_Rose/Pete_Rose_0002.jpg,224,224,1,100
23,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Pete_Rose/Pete_Rose_0001.jpg,224,224,1,100
24,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/George_HW_Bush/George_HW_Bush_0009.jpg,224,224,1,100
25,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/George_HW_Bush/George_HW_Bush_0004.jpg,224,224,1,100
26,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/George_HW_Bush/George_HW_Bush_0008.jpg,224,224,1,100
27,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/George_HW_Bush/George_HW_Bush_0011.jpg,224,224,1,100
28,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/George_HW_Bush/George_HW_Bush_0013.jpg,224,224,1,100
29,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/George_HW_Bush/George_HW_Bush_0005.jpg,224,224,1,100
30,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/George_HW_Bush/George_HW_Bush_0006.jpg,224,224,1,100
31,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/George_HW_Bush/George_HW_Bush_0001.jpg,224,224,1,100
32,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/George_HW_Bush/George_HW_Bush_0010.jpg,224,224,1,100
33,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/George_HW_Bush/George_HW_Bush_0007.jpg,224,224,1,100
34,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/George_HW_Bush/George_HW_Bush_0003.jpg,224,224,1,100
35,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/George_HW_Bush/George_HW_Bush_0012.jpg,224,224,1,100
36,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Asmaa_Assad/Asmaa_Assad_0001.jpg,224,224,1,100
37,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Jessica_Lange/Jessica_Lange_0002.jpg,224,224,1,100
38,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Jessica_Lange/Jessica_Lange_0001.jpg,224,224,1,100
39,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Ronald_Kadish/Ronald_Kadish_0001.jpg,224,224,1,100
40,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Jane_Leeves/Jane_Leeves_0001.jpg,224,224,1,100
41,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Chris_Penn/Chris_Penn_0001.jpg,224,224,1,100
42,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Benito_Santiago/Benito_Santiago_0001.jpg,224,224,1,100
43,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Johnny_Tapia/Johnny_Tapia_0001.jpg,224,224,1,100
44,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Johnny_Tapia/Johnny_Tapia_0003.jpg,224,224,1,100
45,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Johnny_Tapia/Johnny_Tapia_0002.jpg,224,224,1,100
46,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Carlos_Iturgaitz/Carlos_Iturgaitz_0001.jpg,224,224,1,100
47,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Peter_Costello/Peter_Costello_0001.jpg,224,224,1,100
48,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Peter_Costello/Peter_Costello_0002.jpg,224,224,1,100
49,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Kurt_Thomas/Kurt_Thomas_0001.jpg,224,224,1,100
50,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/John_Henry/John_Henry_0001.jpg,224,224,1,100
51,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Alicia_Molik/Alicia_Molik_0001.jpg,224,224,1,100
52,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Terry_McAuliffe/Terry_McAuliffe_0001.jpg,224,224,1,100
53,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Terry_McAuliffe/Terry_McAuliffe_0003.jpg,224,224,1,100
54,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Terry_McAuliffe/Terry_McAuliffe_0002.jpg,224,224,1,100
55,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Ronald_Kessler/Ronald_Kessler_0001.jpg,224,224,1,100
56,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Jennifer_Pena/Jennifer_Pena_0001.jpg,224,224,1,100
57,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Olivera_Labus/Olivera_Labus_0001.jpg,224,224,1,100
58,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Michael_Schumacher/Michael_Schumacher_0015.jpg,224,224,1,100
59,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Michael_Schumacher/Michael_Schumacher_0010.jpg,224,224,1,100
60,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Michael_Schumacher/Michael_Schumacher_0004.jpg,224,224,1,100
61,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Michael_Schumacher/Michael_Schumacher_0003.jpg,224,224,1,100
62,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Michael_Schumacher/Michael_Schumacher_0006.jpg,224,224,1,100
63,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Michael_Schumacher/Michael_Schumacher_0018.jpg,224,224,1,100
64,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Michael_Schumacher/Michael_Schumacher_0011.jpg,224,224,1,100
65,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Michael_Schumacher/Michael_Schumacher_0008.jpg,224,224,1,100
66,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Michael_Schumacher/Michael_Schumacher_0007.jpg,224,224,1,100
67,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Michael_Schumacher/Michael_Schumacher_0017.jpg,224,224,1,100
68,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Michael_Schumacher/Michael_Schumacher_0014.jpg,224,224,1,100
69,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Michael_Schumacher/Michael_Schumacher_0001.jpg,224,224,1,100
70,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Michael_Schumacher/Michael_Schumacher_0016.jpg,224,224,1,100
71,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Michael_Schumacher/Michael_Schumacher_0012.jpg,224,224,1,100
72,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Michael_Schumacher/Michael_Schumacher_0013.jpg,224,224,1,100
73,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Michael_Schumacher/Michael_Schumacher_0005.jpg,224,224,1,100
74,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Michael_Schumacher/Michael_Schumacher_0002.jpg,224,224,1,100
75,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Michael_Schumacher/Michael_Schumacher_0009.jpg,224,224,1,100
76,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Jose_Carlo_Fernandez/Jose_Carlo_Fernandez_0001.jpg,224,224,1,100
77,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Sharon_Robinson/Sharon_Robinson_0001.jpg,224,224,1,100
78,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Michael_Winterbottom/Michael_Winterbottom_0001.jpg,224,224,1,100
79,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Michael_Winterbottom/Michael_Winterbottom_0002.jpg,224,224,1,100
80,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Michael_Winterbottom/Michael_Winterbottom_0003.jpg,224,224,1,100
81,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Ralph_Sampson/Ralph_Sampson_0001.jpg,224,224,1,100
82,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Richard_Virenque/Richard_Virenque_0003.jpg,224,224,1,100
83,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Richard_Virenque/Richard_Virenque_0007.jpg,224,224,1,100
84,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Richard_Virenque/Richard_Virenque_0001.jpg,224,224,1,100
85,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Richard_Virenque/Richard_Virenque_0002.jpg,224,224,1,100
86,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Richard_Virenque/Richard_Virenque_0008.jpg,224,224,1,100
87,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Richard_Virenque/Richard_Virenque_0006.jpg,224,224,1,100
88,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Richard_Virenque/Richard_Virenque_0005.jpg,224,224,1,100
89,/home/teakoo/Landmark-Agnostic-FIQA/img_test/lfw-deepfunneled/Richard_Virenque/Richard_Virenque_0004.jpg,224,224,1,100
