,image paths,A,B,Head Length
0,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/026_03.jpg,675,675,372.6499698108132
1,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/121_03.jpg,675,675,390.08204265256813
2,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/070_03.jpg,675,675,372.0053763052357
3,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/102_03.jpg,675,675,380.0052631214468
4,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/033_03.jpg,675,675,368.021738488367
5,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/008_03.jpg,675,675,382.5232019106815
6,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/003_03.jpg,675,675,370.0216209899092
7,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/027_03.jpg,675,675,352.00568177232594
8,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/101_03.jpg,675,675,390.00512817141265
9,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/014_03.jpg,675,675,348.28149534536
10,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/038_03.jpg,675,675,390.25120115125844
11,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/002_03.jpg,675,675,400.0
12,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/132_03.jpg,675,675,354.3613974461665
13,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/082_03.jpg,675,675,374.90265403168326
14,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/120_03.jpg,675,675,358.0223456713282
15,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/144_03.jpg,675,675,352.4599268001967
16,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/020_03.jpg,675,675,354.02259814876226
17,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/043_03.jpg,675,675,382.13086763568316
18,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/131_03.jpg,675,675,342.0058479032193
19,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/022_03.jpg,675,675,314.0573196090166
20,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/041_03.jpg,675,675,384.13018626502134
21,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/173_03.jpg,675,675,362.00552481971874
22,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/115_03.jpg,675,675,360.1999444752872
23,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/097_03.jpg,675,675,354.05084380636634
24,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/136_03.jpg,675,675,338.0532502432124
25,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/139_03.jpg,675,675,350.46255149445
26,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_min/127_03.jpg,675,675,354.1412147717348
